|No Origem|  |No destino|  |Distacia|
      26---------73     =      110
      26---------26     =      0
      26---------64     =      49
      26---------28     =      69
      26---------3     =      155
      26---------40     =      16
      26---------80    =      INF
      26---------44     =      182
      26---------120     =      124
      26---------79     =      120
      26---------103     =      87
      26---------121     =      144
      26---------12     =      56
      26---------63     =      23
      26---------75     =      69
      26---------9    =      INF
      26---------113    =      INF
      26---------10     =      34
      26---------50     =      47
      26---------100     =      68
      26---------25     =      96
      26---------39     =      89
      26---------116     =      67
      26---------20     =      91
      26---------66     =      28
      26---------72     =      90
      26---------38     =      32
      26---------51     =      60
      26---------29     =      16
      26---------92     =      18
      26---------65     =      26
      26---------102     =      22
      26---------33     =      22
      26---------112     =      29
      26---------18     =      67
      26---------108     =      71
      26---------46     =      31
      26---------124     =      32
      26---------37     =      39
      26---------104     =      34
      26---------88     =      82
      26---------7     =      67
      26---------97     =      50
      26---------22     =      99
      26---------0    =      INF
      26---------58     =      60
      26---------1     =      39
      26---------110     =      22
      26---------11     =      140
      26---------105     =      29
      26---------122     =      22
      26---------76     =      41
      26---------27     =      35
      26---------89     =      38
      26---------119     =      25
      26---------30     =      58
      26---------107     =      24
      26---------85     =      22
      26---------21     =      62
      26---------71     =      43
      26---------67     =      48
      26---------48     =      62
      26---------42     =      40
      26---------43     =      45
      26---------99     =      63
      26---------15     =      42
      26---------2     =      65
      26---------68     =      35
      26---------114     =      33
      26---------111     =      47
      26---------82     =      44
      26---------52     =      41
      26---------118     =      72
      26---------16     =      68
      26---------32     =      52
      26---------31     =      36
      26---------57     =      49
      26---------69     =      32
      26---------96     =      80
      26---------117     =      43
      26---------106     =      73
      26---------93     =      39
      26---------60     =      61
      26---------13     =      52
      26---------56     =      66
      26---------17     =      53
      26---------84     =      36
      26---------95     =      63
      26---------61     =      48
      26---------77     =      33
      26---------109     =      43
      26---------47     =      79
      26---------4     =      94
      26---------91     =      69
      26---------83     =      65
      26---------59     =      61
      26---------87     =      65
      26---------94     =      38
      26---------55     =      35
      26---------90     =      68
      26---------35     =      65
      26---------53     =      39
      26---------123     =      37
      26---------74     =      43
      26---------81     =      34
      26---------5     =      49
      26---------86     =      55
      26---------6     =      59
      26---------115     =      51
      26---------70     =      40
      26---------8     =      28
      26---------45     =      61
      26---------98     =      54
      26---------62     =      36
      26---------19     =      47
      26---------34     =      33
      26---------41     =      42
      26---------23     =      48
      26---------78     =      57
      26---------24     =      35
      26---------36     =      48
      26---------101     =      39
      26---------54     =      37
      26---------49     =      40
      26---------14     =      33
      64---------73     =      35
      64---------26     =      64
      64---------64     =      0
      64---------28     =      30
      64---------3     =      80
      64---------40     =      48
      64---------80    =      INF
      64---------44     =      85
      64---------120     =      49
      64---------79     =      68
      64---------103     =      38
      64---------121     =      50
      64---------12     =      64
      64---------63     =      45
      64---------75     =      133
      64---------9    =      INF
      64---------113    =      INF
      64---------10     =      66
      64---------50     =      44
      64---------100     =      85
      64---------25     =      63
      64---------39     =      58
      64---------116     =      18
      64---------20     =      42
      64---------66     =      79
      64---------72     =      51
      64---------38     =      64
      64---------51     =      56
      64---------29     =      79
      64---------92     =      81
      64---------65     =      58
      64---------102     =      46
      64---------33     =      69
      64---------112     =      35
      64---------18     =      25
      64---------108     =      50
      64---------46     =      56
      64---------124     =      28
      64---------37     =      62
      64---------104     =      40
      64---------88     =      106
      64---------7     =      26
      64---------97     =      54
      64---------22     =      40
      64---------0    =      INF
      64---------58     =      66
      64---------1     =      42
      64---------110     =      31
      64---------11     =      65
      64---------105     =      35
      64---------122     =      50
      64---------76     =      57
      64---------27     =      41
      64---------89     =      31
      64---------119     =      42
      64---------30     =      81
      64---------107     =      65
      64---------85     =      50
      64---------21     =      28
      64---------71     =      29
      64---------67     =      51
      64---------48     =      35
      64---------42     =      53
      64---------43     =      38
      64---------99     =      56
      64---------15     =      48
      64---------2     =      69
      64---------68     =      67
      64---------114     =      61
      64---------111     =      65
      64---------82     =      35
      64---------52     =      36
      64---------118     =      65
      64---------16     =      69
      64---------32     =      43
      64---------31     =      47
      64---------57     =      45
      64---------69     =      49
      64---------96     =      71
      64---------117     =      57
      64---------106     =      79
      64---------93     =      82
      64---------60     =      48
      64---------13     =      53
      64---------56     =      34
      64---------17     =      52
      64---------84     =      77
      64---------95     =      69
      64---------61     =      59
      64---------77     =      51
      64---------109     =      36
      64---------47     =      72
      64---------4     =      48
      64---------91     =      75
      64---------83     =      70
      64---------59     =      68
      64---------87     =      88
      64---------94     =      44
      64---------55     =      49
      64---------90     =      62
      64---------35     =      71
      64---------53     =      56
      64---------123     =      50
      64---------74     =      75
      64---------81     =      30
      64---------5     =      40
      64---------86     =      58
      64---------6     =      91
      64---------115     =      70
      64---------70     =      76
      64---------8     =      52
      64---------45     =      39
      64---------98     =      68
      64---------62     =      60
      64---------19     =      53
      64---------34     =      47
      64---------41     =      38
      64---------23     =      61
      64---------78     =      50
      64---------24     =      39
      64---------36     =      53
      64---------101     =      67
      64---------54     =      67
      64---------49     =      52
      64---------14     =      55
      28---------73    =      INF
      28---------26    =      INF
      28---------64     =      33
      28---------28     =      0
      28---------3     =      83
      28---------40     =      49
      28---------80    =      INF
      28---------44     =      63
      28---------120     =      82
      28---------79     =      51
      28---------103     =      71
      28---------121     =      83
      28---------12     =      97
      28---------63     =      78
      28---------75     =      30
      28---------9    =      INF
      28---------113    =      INF
      28---------10     =      67
      28---------50     =      77
      28---------100     =      63
      28---------25     =      96
      28---------39     =      75
      28---------116     =      51
      28---------20     =      75
      28---------66     =      95
      28---------72     =      21
      28---------38     =      65
      28---------51     =      89
      28---------29     =      112
      28---------92     =      101
      28---------65     =      59
      28---------102     =      79
      28---------33     =      82
      28---------112     =      68
      28---------18     =      58
      28---------108     =      49
      28---------46     =      55
      28---------124     =      61
      28---------37     =      95
      28---------104     =      73
      28---------88     =      139
      28---------7     =      46
      28---------97     =      83
      28---------22     =      58
      28---------0    =      INF
      28---------58     =      99
      28---------1     =      14
      28---------110     =      62
      28---------11     =      98
      28---------105     =      5
      28---------122     =      83
      28---------76     =      29
      28---------27     =      74
      28---------89     =      64
      28---------119     =      57
      28---------30     =      114
      28---------107     =      37
      28---------85     =      55
      28---------21     =      48
      28---------71     =      49
      28---------67     =      63
      28---------48     =      68
      28---------42     =      63
      28---------43     =      71
      28---------99     =      89
      28---------15     =      44
      28---------2     =      52
      28---------68     =      95
      28---------114     =      66
      28---------111     =      80
      28---------82     =      26
      28---------52     =      27
      28---------118     =      64
      28---------16     =      87
      28---------32     =      49
      28---------31     =      20
      28---------57     =      49
      28---------69     =      53
      28---------96     =      85
      28---------117     =      27
      28---------106     =      79
      28---------93     =      63
      28---------60     =      81
      28---------13     =      41
      28---------56     =      51
      28---------17     =      74
      28---------84     =      88
      28---------95     =      88
      28---------61     =      55
      28---------77     =      63
      28---------109     =      69
      28---------47     =      81
      28---------4     =      70
      28---------91     =      61
      28---------83     =      46
      28---------59     =      38
      28---------87     =      87
      28---------94     =      54
      28---------55     =      52
      28---------90     =      50
      28---------35     =      43
      28---------53     =      60
      28---------123     =      22
      28---------74     =      65
      28---------81     =      33
      28---------5     =      31
      28---------86     =      30
      28---------6     =      90
      28---------115     =      58
      28---------70     =      49
      28---------8     =      59
      28---------45     =      47
      28---------98     =      67
      28---------62     =      56
      28---------19     =      86
      28---------34     =      57
      28---------41     =      71
      28---------23     =      73
      28---------78     =      39
      28---------24     =      47
      28---------36     =      34
      28---------101     =      74
      28---------54     =      55
      28---------49     =      49
      28---------14     =      58
      3---------73     =      45
      3---------26     =      74
      3---------64     =      64
      3---------28     =      94
      3---------3     =      0
      3---------40     =      56
      3---------80    =      INF
      3---------44     =      100
      3---------120     =      32
      3---------79     =      73
      3---------103     =      78
      3---------121     =      43
      3---------12     =      102
      3---------63     =      97
      3---------75     =      124
      3---------9     =      64
      3---------113     =      75
      3---------10     =      71
      3---------50     =      55
      3---------100     =      142
      3---------25     =      2
      3---------39     =      22
      3---------116     =      40
      3---------20     =      61
      3---------66     =      89
      3---------72     =      57
      3---------38     =      72
      3---------51     =      49
      3---------29     =      33
      3---------92     =      35
      3---------65     =      66
      3---------102     =      39
      3---------33     =      39
      3---------112     =      46
      3---------18     =      17
      3---------108     =      42
      3---------46     =      48
      3---------124     =      50
      3---------37     =      84
      3---------104     =      51
      3---------88     =      59
      3---------7     =      18
      3---------97     =      48
      3---------22     =      43
      3---------0     =      11
      3---------58     =      29
      3---------1     =      63
      3---------110     =      39
      3---------11     =      60
      3---------105     =      59
      3---------122     =      39
      3---------76     =      75
      3---------27     =      52
      3---------89     =      14
      3---------119     =      42
      3---------30     =      99
      3---------107     =      38
      3---------85     =      3
      3---------21     =      42
      3---------71     =      21
      3---------67     =      44
      3---------48     =      42
      3---------42     =      57
      3---------43     =      21
      3---------99     =      39
      3---------15     =      41
      3---------2     =      74
      3---------68     =      52
      3---------114     =      14
      3---------111     =      28
      3---------82     =      27
      3---------52     =      25
      3---------118     =      47
      3---------16     =      37
      3---------32     =      5
      3---------31     =      22
      3---------57     =      47
      3---------69     =      49
      3---------96     =      2
      3---------117     =      38
      3---------106     =      42
      3---------93     =      72
      3---------60     =      36
      3---------13     =      36
      3---------56     =      42
      3---------17     =      35
      3---------84     =      53
      3---------95     =      57
      3---------61     =      52
      3---------77     =      14
      3---------109     =      19
      3---------47     =      55
      3---------4     =      27
      3---------91     =      17
      3---------83     =      70
      3---------59     =      3
      3---------87     =      16
      3---------94     =      48
      3---------55     =      52
      3---------90     =      60
      3---------35     =      57
      3---------53     =      56
      3---------123     =      50
      3---------74     =      21
      3---------81     =      22
      3---------5     =      32
      3---------86     =      52
      3---------6     =      53
      3---------115     =      58
      3---------70     =      15
      3---------8     =      9
      3---------45     =      45
      3---------98     =      54
      3---------62     =      17
      3---------19     =      42
      3---------34     =      51
      3---------41     =      40
      3---------23     =      29
      3---------78     =      33
      3---------24     =      16
      3---------36     =      36
      3---------101     =      27
      3---------54     =      65
      3---------49     =      31
      3---------14     =      44
      40---------73    =      INF
      40---------26    =      INF
      40---------64     =      25
      40---------28     =      55
      40---------3     =      105
      40---------40     =      0
      40---------80    =      INF
      40---------44     =      85
      40---------120     =      74
      40---------79     =      93
      40---------103     =      63
      40---------121     =      31
      40---------12     =      89
      40---------63     =      56
      40---------75     =      16
      40---------9     =      58
      40---------113     =      94
      40---------10     =      18
      40---------50     =      31
      40---------100     =      49
      40---------25     =      88
      40---------39     =      73
      40---------116     =      43
      40---------20     =      67
      40---------66     =      46
      40---------72     =      38
      40---------38     =      16
      40---------51     =      37
      40---------29     =      60
      40---------92     =      62
      40---------65     =      10
      40---------102     =      57
      40---------33     =      33
      40---------112     =      40
      40---------18     =      50
      40---------108     =      55
      40---------46     =      61
      40---------124     =      16
      40---------37     =      50
      40---------104     =      45
      40---------88     =      87
      40---------7     =      51
      40---------97     =      34
      40---------22     =      65
      40---------0     =      116
      40---------58     =      71
      40---------1     =      67
      40---------110     =      33
      40---------11     =      66
      40---------105     =      27
      40---------122     =      43
      40---------76     =      25
      40---------27     =      46
      40---------89     =      22
      40---------119     =      36
      40---------30     =      69
      40---------107     =      33
      40---------85     =      43
      40---------21     =      53
      40---------71     =      54
      40---------67     =      32
      40---------48     =      46
      40---------42     =      70
      40---------43     =      29
      40---------99     =      47
      40---------15     =      53
      40---------2     =      94
      40---------68     =      46
      40---------114     =      54
      40---------111     =      49
      40---------82     =      43
      40---------52     =      25
      40---------118     =      56
      40---------16     =      84
      40---------32     =      63
      40---------31     =      35
      40---------57     =      33
      40---------69     =      37
      40---------96     =      68
      40---------117     =      64
      40---------106     =      84
      40---------93     =      70
      40---------60     =      73
      40---------13     =      34
      40---------56     =      48
      40---------17     =      43
      40---------84     =      56
      40---------95     =      74
      40---------61     =      59
      40---------77     =      32
      40---------109     =      27
      40---------47     =      63
      40---------4     =      68
      40---------91     =      47
      40---------83     =      64
      40---------59     =      52
      40---------87     =      69
      40---------94     =      40
      40---------55     =      40
      40---------90     =      36
      40---------35     =      65
      40---------53     =      44
      40---------123     =      48
      40---------74     =      27
      40---------81     =      18
      40---------5     =      17
      40---------86     =      53
      40---------6     =      43
      40---------115     =      71
      40---------70     =      60
      40---------8     =      40
      40---------45     =      45
      40---------98     =      63
      40---------62     =      48
      40---------19     =      58
      40---------34     =      43
      40---------41     =      26
      40---------23     =      67
      40---------78     =      41
      40---------24     =      34
      40---------36     =      49
      40---------101     =      25
      40---------54     =      21
      40---------49     =      40
      40---------14     =      65
      80---------73     =      72
      80---------26     =      70
      80---------64     =      29
      80---------28     =      59
      80---------3     =      100
      80---------40     =      77
      80---------80     =      0
      80---------44     =      30
      80---------120     =      46
      80---------79     =      75
      80---------103     =      30
      80---------121     =      79
      80---------12     =      93
      80---------63     =      74
      80---------75     =      63
      80---------9     =      135
      80---------113     =      73
      80---------10     =      80
      80---------50     =      57
      80---------100     =      44
      80---------25     =      60
      80---------39     =      43
      80---------116     =      45
      80---------20     =      34
      80---------66     =      72
      80---------72     =      80
      80---------38     =      46
      80---------51     =      74
      80---------29     =      86
      80---------92     =      77
      80---------65     =      87
      80---------102     =      75
      80---------33     =      92
      80---------112     =      40
      80---------18     =      54
      80---------108     =      79
      80---------46     =      58
      80---------124     =      55
      80---------37     =      83
      80---------104     =      45
      80---------88     =      135
      80---------7     =      55
      80---------97     =      43
      80---------22     =      69
      80---------0     =      111
      80---------58     =      45
      80---------1     =      2
      80---------110     =      50
      80---------11     =      57
      80---------105     =      64
      80---------122     =      52
      80---------76     =      17
      80---------27     =      46
      80---------89     =      60
      80---------119     =      30
      80---------30     =      58
      80---------107     =      25
      80---------85     =      52
      80---------21     =      44
      80---------71     =      45
      80---------67     =      46
      80---------48     =      60
      80---------42     =      67
      80---------43     =      67
      80---------99     =      68
      80---------15     =      32
      80---------2     =      49
      80---------68     =      93
      80---------114     =      63
      80---------111     =      53
      80---------82     =      51
      80---------52     =      24
      80---------118     =      68
      80---------16     =      58
      80---------32     =      37
      80---------31     =      54
      80---------57     =      46
      80---------69     =      34
      80---------96     =      42
      80---------117     =      59
      80---------106     =      58
      80---------93     =      88
      80---------60     =      32
      80---------13     =      50
      80---------56     =      63
      80---------17     =      55
      80---------84     =      55
      80---------95     =      73
      80---------61     =      43
      80---------77     =      46
      80---------109     =      43
      80---------47     =      60
      80---------4     =      48
      80---------91     =      29
      80---------83     =      68
      80---------59     =      34
      80---------87     =      62
      80---------94     =      49
      80---------55     =      40
      80---------90     =      48
      80---------35     =      73
      80---------53     =      39
      80---------123     =      10
      80---------74     =      33
      80---------81     =      53
      80---------5     =      34
      80---------86     =      18
      80---------6     =      78
      80---------115     =      46
      80---------70     =      55
      80---------8     =      56
      80---------45     =      44
      80---------98     =      55
      80---------62     =      64
      80---------19     =      58
      80---------34     =      52
      80---------41     =      65
      80---------23     =      62
      80---------78     =      27
      80---------24     =      12
      80---------36     =      36
      80---------101     =      55
      80---------54     =      51
      80---------49     =      52
      80---------14     =      55
      44---------73    =      INF
      44---------26     =      76
      44---------64     =      52
      44---------28     =      28
      44---------3     =      58
      44---------40     =      40
      44---------80     =      63
      44---------44     =      0
      44---------120     =      90
      44---------79     =      32
      44---------103     =      90
      44---------121     =      54
      44---------12     =      58
      44---------63     =      95
      44---------75     =      56
      44---------9     =      98
      44---------113     =      89
      44---------10     =      58
      44---------50     =      17
      44---------100     =      89
      44---------25     =      60
      44---------39     =      75
      44---------116     =      62
      44---------20     =      50
      44---------66     =      21
      44---------72     =      49
      44---------38     =      43
      44---------51     =      60
      44---------29     =      67
      44---------92     =      42
      44---------65     =      50
      44---------102     =      73
      44---------33     =      73
      44---------112     =      56
      44---------18     =      37
      44---------108     =      62
      44---------46     =      68
      44---------124     =      56
      44---------37     =      30
      44---------104     =      13
      44---------88     =      85
      44---------7     =      38
      44---------97     =      27
      44---------22     =      28
      44---------0     =      69
      44---------58     =      33
      44---------1     =      42
      44---------110     =      45
      44---------11     =      55
      44---------105     =      22
      44---------122     =      36
      44---------76     =      37
      44---------27     =      62
      44---------89     =      35
      44---------119     =      0
      44---------30     =      49
      44---------107     =      45
      44---------85     =      36
      44---------21     =      14
      44---------71     =      15
      44---------67     =      16
      44---------48     =      30
      44---------42     =      56
      44---------43     =      42
      44---------99     =      60
      44---------15     =      21
      44---------2     =      19
      44---------68     =      44
      44---------114     =      47
      44---------111     =      23
      44---------82     =      21
      44---------52     =      22
      44---------118     =      40
      44---------16     =      57
      44---------32     =      31
      44---------31     =      35
      44---------57     =      44
      44---------69     =      48
      44---------96     =      60
      44---------117     =      55
      44---------106     =      35
      44---------93     =      50
      44---------60     =      75
      44---------13     =      20
      44---------56     =      52
      44---------17     =      56
      44---------84     =      25
      44---------95     =      57
      44---------61     =      32
      44---------77     =      16
      44---------109     =      32
      44---------47     =      68
      44---------4     =      40
      44---------91     =      48
      44---------83     =      52
      44---------59     =      53
      44---------87     =      5
      44---------94     =      17
      44---------55     =      13
      44---------90     =      45
      44---------35     =      44
      44---------53     =      55
      44---------123     =      14
      44---------74     =      52
      44---------81     =      39
      44---------5     =      4
      44---------86     =      32
      44---------6     =      61
      44---------115     =      58
      44---------70     =      29
      44---------8     =      42
      44---------45     =      42
      44---------98     =      62
      44---------62     =      50
      44---------19     =      26
      44---------34     =      20
      44---------41     =      61
      44---------23     =      53
      44---------78     =      42
      44---------24     =      18
      44---------36     =      49
      44---------101     =      52
      44---------54     =      31
      44---------49     =      44
      44---------14     =      25
      120---------73    =      INF
      120---------26    =      INF
      120---------64    =      INF
      120---------28    =      INF
      120---------3     =      44
      120---------40     =      100
      120---------80     =      86
      120---------44     =      116
      120---------120     =      0
      120---------79     =      41
      120---------103     =      116
      120---------121     =      87
      120---------12     =      146
      120---------63     =      141
      120---------75     =      55
      120---------9     =      108
      120---------113     =      48
      120---------10     =      115
      120---------50     =      99
      120---------100     =      71
      120---------25     =      14
      120---------39     =      34
      120---------116     =      72
      120---------20     =      96
      120---------66     =      133
      120---------72     =      101
      120---------38     =      103
      120---------51     =      93
      120---------29     =      77
      120---------92     =      79
      120---------65     =      110
      120---------102     =      83
      120---------33     =      83
      120---------112     =      90
      120---------18     =      61
      120---------108     =      59
      120---------46     =      57
      120---------124     =      82
      120---------37     =      116
      120---------104     =      95
      120---------88     =      103
      120---------7     =      62
      120---------97     =      92
      120---------22     =      87
      120---------0     =      55
      120---------58     =      50
      120---------1     =      88
      120---------110     =      35
      120---------11     =      104
      120---------105     =      103
      120---------122     =      83
      120---------76     =      103
      120---------27     =      45
      120---------89     =      26
      120---------119     =      59
      120---------30     =      116
      120---------107     =      82
      120---------85     =      45
      120---------21     =      72
      120---------71     =      65
      120---------67     =      52
      120---------48     =      66
      120---------42     =      66
      120---------43     =      33
      120---------99     =      51
      120---------15     =      85
      120---------2     =      42
      120---------68     =      84
      120---------114     =      28
      120---------111     =      42
      120---------82     =      71
      120---------52     =      69
      120---------118     =      59
      120---------16     =      49
      120---------32     =      17
      120---------31     =      34
      120---------57     =      75
      120---------69     =      58
      120---------96     =      46
      120---------117     =      50
      120---------106     =      63
      120---------93     =      93
      120---------60     =      80
      120---------13     =      4
      120---------56     =      54
      120---------17     =      47
      120---------84     =      65
      120---------95     =      51
      120---------61     =      73
      120---------77     =      28
      120---------109     =      31
      120---------47     =      67
      120---------4     =      39
      120---------91     =      61
      120---------83     =      90
      120---------59     =      47
      120---------87     =      60
      120---------94     =      79
      120---------55     =      75
      120---------90     =      30
      120---------35     =      69
      120---------53     =      65
      120---------123     =      50
      120---------74     =      44
      120---------81     =      48
      120---------5     =      56
      120---------86     =      41
      120---------6     =      73
      120---------115     =      52
      120---------70     =      59
      120---------8     =      51
      120---------45     =      58
      120---------98     =      81
      120---------62     =      59
      120---------19     =      84
      120---------34     =      82
      120---------41     =      52
      120---------23     =      43
      120---------78     =      45
      120---------24     =      30
      120---------36     =      48
      120---------101     =      41
      120---------54     =      35
      120---------49     =      43
      120---------14     =      48
      79---------73    =      INF
      79---------26    =      INF
      79---------64     =      37
      79---------28     =      10
      79---------3     =      23
      79---------40     =      59
      79---------80    =      INF
      79---------44     =      36
      79---------120     =      55
      79---------79     =      0
      79---------103     =      75
      79---------121     =      38
      79---------12     =      40
      79---------63     =      9
      79---------75     =      40
      79---------9     =      87
      79---------113     =      86
      79---------10     =      66
      79---------50     =      53
      79---------100     =      73
      79---------25     =      25
      79---------39     =      26
      79---------116     =      44
      79---------20     =      68
      79---------66     =      57
      79---------72     =      31
      79---------38     =      22
      79---------51     =      31
      79---------29     =      49
      79---------92     =      28
      79---------65     =      69
      79---------102     =      10
      79---------33     =      37
      79---------112     =      44
      79---------18     =      40
      79---------108     =      19
      79---------46     =      20
      79---------124     =      54
      79---------37     =      12
      79---------104     =      49
      79---------88     =      70
      79---------7     =      31
      79---------97     =      43
      79---------22     =      10
      79---------0     =      34
      79---------58     =      52
      79---------1     =      24
      79---------110     =      37
      79---------11     =      37
      79---------105     =      15
      79---------122     =      32
      79---------76     =      31
      79---------27     =      48
      79---------89     =      37
      79---------119     =      22
      79---------30     =      31
      79---------107     =      39
      79---------85     =      4
      79---------21     =      14
      79---------71     =      15
      79---------67     =      37
      79---------48     =      40
      79---------42     =      29
      79---------43     =      44
      79---------99     =      57
      79---------15     =      54
      79---------2     =      1
      79---------68     =      50
      79---------114     =      15
      79---------111     =      29
      79---------82     =      21
      79---------52     =      22
      79---------118     =      7
      79---------16     =      39
      79---------32     =      13
      79---------31     =      17
      79---------57     =      31
      79---------69     =      21
      79---------96     =      25
      79---------117     =      37
      79---------106     =      20
      79---------93     =      23
      79---------60     =      20
      79---------13     =      41
      79---------56     =      34
      79---------17     =      42
      79---------84     =      46
      79---------95     =      62
      79---------61     =      49
      79---------77     =      15
      79---------109     =      31
      79---------47     =      44
      79---------4     =      22
      79---------91     =      40
      79---------83     =      38
      79---------59     =      26
      79---------87     =      39
      79---------94     =      31
      79---------55     =      45
      79---------90     =      47
      79---------35     =      53
      79---------53     =      28
      79---------123     =      32
      79---------74     =      33
      79---------81     =      7
      79---------5     =      26
      79---------86     =      0
      79---------6     =      60
      79---------115     =      37
      79---------70     =      38
      79---------8     =      10
      79---------45     =      40
      79---------98     =      55
      79---------62     =      18
      79---------19     =      40
      79---------34     =      34
      79---------41     =      63
      79---------23     =      30
      79---------78     =      49
      79---------24     =      17
      79---------36     =      31
      79---------101     =      28
      79---------54     =      27
      79---------49     =      26
      79---------14     =      7
      103---------73     =      54
      103---------26     =      83
      103---------64     =      73
      103---------28     =      103
      103---------3     =      99
      103---------40     =      60
      103---------80     =      72
      103---------44     =      102
      103---------120     =      68
      103---------79     =      87
      103---------103     =      0
      103---------121     =      57
      103---------12     =      127
      103---------63     =      96
      103---------75     =      76
      103---------9     =      118
      103---------113     =      116
      103---------10     =      78
      103---------50     =      64
      103---------100     =      109
      103---------25     =      82
      103---------39     =      77
      103---------116     =      91
      103---------20     =      105
      103---------66     =      98
      103---------72     =      71
      103---------38     =      76
      103---------51     =      63
      103---------29     =      86
      103---------92     =      88
      103---------65     =      70
      103---------102     =      92
      103---------33     =      88
      103---------112     =      95
      103---------18     =      84
      103---------108     =      99
      103---------46     =      90
      103---------124     =      76
      103---------37     =      99
      103---------104     =      58
      103---------88     =      69
      103---------7     =      85
      103---------97     =      62
      103---------22     =      59
      103---------0     =      26
      103---------58     =      44
      103---------1     =      72
      103---------110     =      84
      103---------11     =      84
      103---------105     =      68
      103---------122     =      71
      103---------76     =      84
      103---------27     =      67
      103---------89     =      61
      103---------119     =      91
      103---------30     =      118
      103---------107     =      90
      103---------85     =      71
      103---------21     =      94
      103---------71     =      24
      103---------67     =      58
      103---------48     =      51
      103---------42     =      28
      103---------43     =      68
      103---------99     =      86
      103---------15     =      66
